city_id,city_name,state_name,state_abbrev,lat,lng
491,Chino,California,CA,33.9836,-117.6654
492,Lynn,Massachusetts,MA,42.4779,-70.9663
493,Edmond,Oklahoma,OK,35.6689,-97.4159
494,Hanford,California,CA,36.3274,-119.6549
495,Dearborn,Michigan,MI,42.3127,-83.2129
496,Livonia,Michigan,MI,42.3972,-83.3733
497,South Gate,California,CA,33.9448,-118.1926
498,Vineland,New Jersey,NJ,39.4653,-74.9981
499,Florence,South Carolina,SC,34.1781,-79.7877
500,Portsmouth,New Hampshire,NH,43.058,-70.7826
501,Slidell,Louisiana,LA,30.2881,-89.7826
502,Lawton,Oklahoma,OK,34.6176,-98.4203
503,Kirkland,Washington,WA,47.6974,-122.2054
504,Missoula,Montana,MT,46.875,-114.0214
505,Auburn,Alabama,AL,32.6087,-85.4899
506,Rapid City,South Dakota,SD,44.0716,-103.2204
507,Terre Haute,Indiana,IN,39.4654,-87.3763
508,Suffolk,Virginia,VA,36.6953,-76.6398
509,Blacksburg,Virginia,VA,37.23,-80.4279
510,Mount Pleasant,South Carolina,SC,32.8538,-79.8204
511,Carson,California,CA,33.8374,-118.2559
512,Conroe,Texas,TX,30.3239,-95.4825
513,Alafaya,Florida,FL,28.5278,-81.1865
514,Livermore,California,CA,37.6862,-121.7608
515,Westminster,California,CA,33.7523,-117.9938
516,Germantown,Maryland,MD,39.1755,-77.2643
517,Santa Monica,California,CA,34.0232,-118.4813
518,New Braunfels,Texas,TX,29.6994,-98.1148
519,Fall River,Massachusetts,MA,41.7137,-71.1014
520,Albany,Georgia,GA,31.5776,-84.1762
521,Miami Beach,Florida,FL,25.8171,-80.1396
522,Norwalk,Connecticut,CT,41.1144,-73.4215
523,San Leandro,California,CA,37.7071,-122.1601
524,OFallon,Missouri,MO,38.785,-90.7175
525,Newton,Massachusetts,MA,42.3316,-71.2085
526,Muncie,Indiana,IN,40.1989,-85.395
527,Citrus Heights,California,CA,38.6948,-121.288
528,State College,Pennsylvania,PA,40.7909,-77.8568
529,Town n Country,Florida,FL,28.0108,-82.576
530,Decatur,Illinois,IL,39.8556,-88.9337
531,Jackson,Michigan,MI,42.2431,-84.4037
532,Fort Myers,Florida,FL,26.6195,-81.8303
533,Goodyear,Arizona,AZ,33.2613,-112.3622
534,Dalton,Georgia,GA,34.769,-84.9712
535,Bryan,Texas,TX,30.6657,-96.3668
536,Waukegan,Illinois,IL,42.3697,-87.8716
537,Hawthorne,California,CA,33.9146,-118.3476
538,Anderson,Indiana,IN,40.0891,-85.6893
539,Redwood City,California,CA,37.5026,-122.2252
